"date","maxtp","mintp","gmin","rain","cbl","wdsp","hm","ddhm","hg","sun","g_rad","soil","pe","evap","smd_wd","smd_md","smd_pd","year","month","season"
2007-11-30,13.3,4.4,3.9,5.8,986,15,25,260,35,0.4,145,8.525,0.8,1,0,-4,-8.8,2007,"Nov",NA
2007-12-01,7.7,3.8,2.2,1.8,982.3,20.5,30,240,42,3,281,5.775,0.6,0.8,0,-1.2,-9.6,2007,"Dec",NA
2007-12-02,9.7,4.4,3.5,7.8,978.7,19.2,33,270,45,3.6,259,6.225,0.5,0.6,0,-7.3,-10,2007,"Dec",NA
2007-12-03,8.5,3.1,1.9,0.1,993.5,15.3,26,260,34,4.2,319,5.25,0.4,0.4,0.3,0.3,-9.2,2007,"Dec",NA
2007-12-04,14.7,6.7,4.2,1.1,992.7,18.2,30,220,43,0.8,184,8.075,0.9,1.1,0.1,0.1,-9,2007,"Dec",NA
2007-12-05,13.2,7.9,8.4,0.2,989.8,22.6,32,250,43,2.6,262,8.65,0.8,0.9,0.6,0.6,-7.9,2007,"Dec",NA
2007-12-06,14.6,7.6,6.6,14.4,988.5,17,32,260,43,0,114,8.65,1,1.2,0,-10,-10,2007,"Dec",NA
2007-12-07,9.6,2.9,3.9,0.6,990.2,18.7,37,260,49,1.8,201,6.675,0.6,0.8,0,0,-9.5,2007,"Dec",NA
2007-12-08,12.1,2.9,1.6,14.7,984.3,20.2,38,260,53,0.1,127,5.6,0.5,0.8,0,-10,-10,2007,"Dec",NA
2007-12-09,7.5,3.8,3.1,0.8,978,14.7,21,320,32,4.3,325,5.725,0.3,0.3,0,-0.5,-10,2007,"Dec",NA
2007-12-10,6.6,2,0.4,0,1006.2,10.4,18,300,27,6.2,341,4.075,0.3,0.3,0.3,0.3,-9.2,2007,"Dec",NA
2007-12-11,9.6,1.2,-3,0,1018.2,6.2,12,150,17,1.1,194,3.525,0.3,0.4,0.6,0.6,-8.4,2007,"Dec",NA
2007-12-12,11.6,7.8,2.8,0.2,1019.6,8.6,14,150,18,0,130,6.325,0.7,0.8,1.1,1.1,-7.5,2007,"Dec",NA
2007-12-13,9.7,4.2,4.2,0,1022.8,10.2,20,190,29,0.5,183,5.95,0.7,0.8,1.8,1.8,-6.4,2007,"Dec",NA
2007-12-14,9.6,0.8,0.5,0,1023.3,7.9,15,160,20,0.2,192,4.825,0.5,0.5,2.3,2.3,-5.6,2007,"Dec",NA
2007-12-15,6.5,1.5,-3.2,0,1022.6,9.5,14,160,19,0,99,3.9,0.5,0.7,2.8,2.8,-4.8,2007,"Dec",NA
2007-12-16,6.1,2.6,2.8,0,1023.7,10.8,18,140,25,0,63,4.15,0.8,1,3.6,3.6,-3.8,2007,"Dec",NA
2007-12-17,7.3,-2.2,-6.8,0,1025.1,9.2,22,80,29,6.9,306,2.65,0.2,0.2,3.8,3.8,-3.4,2007,"Dec",NA
2007-12-18,5.9,4,-4.1,0,1026.2,8.4,15,90,20,0.7,171,4,0.5,0.6,4.3,4.3,-2.7,2007,"Dec",NA
2007-12-19,7.3,-1,-5.2,0,1025.7,6.8,13,90,17,5,269,3.475,0.2,0.2,4.5,4.5,-2.4,2007,"Dec",NA
2007-12-20,7.6,2.9,-2.7,0,1019.7,9.7,16,120,21,0,155,3,0.8,0.9,5.2,5.2,-1.5,2007,"Dec",NA
2007-12-21,4.8,-3.7,-8.1,0,1012.4,4.3,13,120,18,6.4,289,1.625,0,0.1,5.2,5.2,-1.4,2007,"Dec",NA
2007-12-22,9.1,1.6,-6.7,1.1,1011.5,9.9,17,270,25,5.3,304,2.925,0.1,0.1,4.2,4.2,-2.3,2007,"Dec",NA
2007-12-23,10.4,-0.3,-5.6,0,1010.2,10.8,26,200,39,4.9,283,2.6,0.6,0.7,4.8,4.8,-1.6,2007,"Dec",NA
2007-12-24,11,0.6,-0.7,3.4,1004.3,8.5,22,190,29,0,101,5.175,0.4,0.5,1.8,1.8,-4.5,2007,"Dec",NA
2007-12-25,7.6,-1.6,-4.6,0.8,1001,10.7,21,220,32,5.4,310,2.9,0.1,0.1,1.1,1.1,-4.9,2007,"Dec",NA
2007-12-26,11.4,4.3,-1.3,0,1005.2,15.5,23,200,35,0.6,172,4.6,0.8,0.9,1.9,1.9,-3.9,2007,"Dec",NA
2007-12-27,12,9.8,6.4,10,1002.5,18.3,30,220,42,0.5,172,7.7,0.8,0.9,0,-7.4,-10,2007,"Dec",NA
2007-12-28,13.2,3.9,8.4,4.6,994.3,19.8,36,260,44,3.6,247,8.325,0.8,1,0,-3.8,-10,2007,"Dec",NA
2007-12-29,8.3,3.2,1.7,2.2,999.6,19.6,31,230,42,2.3,202,5.075,0.7,0.9,0,-1.5,-10,2007,"Dec",NA
2007-12-30,8.9,5.4,2,0,1013,7.8,14,260,17,0.5,188,5.5,0.5,0.5,0.5,0.5,-9,2007,"Dec",NA
2007-12-31,12.5,8.5,2.5,0,1012.1,8.8,14,210,21,0,110,7.025,0.7,0.8,1.1,1.1,-7.9,2007,"Dec",NA
2008-01-01,11.5,7.3,7.7,0.5,1007.2,6.9,16,150,22,0,68,8.025,0.7,0.8,1.3,1.3,-7.3,2008,"Jan",NA
2008-01-02,7.9,3.9,5.3,0,999.4,18.1,24,130,34,0.2,112,6.225,1.2,1.6,2.5,2.5,-5.7,2008,"Jan",NA
2008-01-03,4.2,-0.6,0.6,0.5,993.3,16.3,29,90,40,0.7,145,3.275,0.9,1.2,2.9,2.9,-5.1,2008,"Jan",NA
2008-01-04,8.4,-2.1,-3,0.1,981.7,12.5,24,220,34,0.1,67,2.55,0.6,0.8,3.4,3.4,-4.3,2008,"Jan",NA
2008-01-05,5.9,2.1,-2.3,0.1,982.9,18.9,27,230,38,4.1,298,3.4,0.5,0.6,3.8,3.8,-3.7,2008,"Jan",NA
2008-01-06,7.3,1.8,0.1,4.2,988.3,12.5,25,220,38,1.8,207,2.825,0.3,0.4,0,-0.1,-7.4,2008,"Jan",NA
2008-01-07,6.5,3.5,1.4,0.9,988.8,21.4,43,260,56,4.1,286,3.725,0.8,1,0,-0.1,-7.1,2008,"Jan",NA
2008-01-08,10.5,1.3,1.7,9,988.3,15.8,31,220,49,1,183,4.025,0.7,0.9,0,-8.3,-10,2008,"Jan",NA
2008-01-09,8.3,1,0,9.1,987.7,16.5,25,230,35,4.1,302,2.875,0.3,0.4,0,-8.8,-10,2008,"Jan",NA
2008-01-10,9,2.8,0.8,10.8,981,12.2,21,220,30,3.7,336,4.8,0.3,0.3,0,-10,-10,2008,"Jan",NA
2008-01-11,4.5,-1.5,-3.7,0,987.2,7.7,16,260,20,3.9,295,2.375,0.2,0.2,0.2,0.2,-9.3,2008,"Jan",NA
2008-01-12,11.5,0.9,-1.9,6.5,987.8,11.4,20,200,31,1.3,202,2.575,0.5,0.6,0,-5.8,-10,2008,"Jan",NA
2008-01-13,11.8,5.6,2.2,0.9,978.8,10.8,21,180,29,0.1,110,6.3,0.7,0.9,0,-0.2,-9.7,2008,"Jan",NA
2008-01-14,9.1,4.6,2.2,5,974.8,13.9,28,250,39,1,183,5.325,0.6,0.8,0,-4.4,-10,2008,"Jan",NA
2008-01-15,8.6,4.1,1.8,1.8,969.1,6.2,16,230,21,0.1,108,5.375,0.5,0.6,0,-1.3,-10,2008,"Jan",NA
2008-01-16,5.8,0.9,-1.5,0.6,979.2,6,13,230,18,0.7,195,4.1,0.2,0.3,0,-0.4,-9.9,2008,"Jan",NA
2008-01-17,8.9,3.3,1.1,7.6,984.4,16,28,250,36,1.8,251,5.1,0.5,0.6,0,-7.1,-10,2008,"Jan",NA
2008-01-18,13.7,5.4,4.6,8,990.8,20.4,31,230,42,0,200,7.05,0.7,0.9,0,-7.3,-10,2008,"Jan",NA
2008-01-19,10.7,8.1,7.3,9.9,1001.2,7.2,19,250,28,0,79,8.075,0.5,0.6,0,-9.4,-10,2008,"Jan",NA
2008-01-20,12.6,7.6,7.5,3.5,1003.8,13.4,24,240,32,0.1,177,9.175,0.2,0.4,0,-3.3,-10,2008,"Jan",NA
2008-01-21,12.2,0.2,7.2,4.5,999,17.5,39,260,54,1.9,228,8.125,0.4,0.6,0,-4.1,-10,2008,"Jan",NA
2008-01-22,11.6,1.4,-2.5,4.2,1008.8,7.4,13,210,20,0,82,5.65,0.4,0.5,0,-3.8,-10,2008,"Jan",NA
2008-01-23,14.3,8.3,4.1,2.2,1004.8,17,28,250,40,0.4,163,9,1.2,1.5,0,-1,-10,2008,"Jan",NA
2008-01-24,8.5,3.1,1.9,0.7,1011.8,19.7,25,260,36,5.9,455,5.7,0.9,1.2,0.2,0.2,-9.3,2008,"Jan",NA
2008-01-25,11.6,6.9,2.5,0,1017.7,24.3,32,240,45,0.7,292,6.275,1.8,2.4,2,2,-7,2008,"Jan",NA
2008-01-26,10.8,8,7.2,0,1017.9,22.1,28,240,39,0.4,283,6.925,1.5,1.9,3.4,3.4,-5.2,2008,"Jan",NA
2008-01-27,11.6,6.6,5.7,0,1020.5,14,25,250,33,4.9,453,7.025,1,1.2,4.4,4.4,-3.9,2008,"Jan",NA
2008-01-28,10.8,4.4,1.4,0,1017.3,10.3,18,220,26,1.6,297,6,0.6,0.7,5,5,-3.2,2008,"Jan",NA
2008-01-29,11.3,1.9,5.3,2.7,1012.7,12,18,210,26,0.3,199,7.15,0.5,0.7,2.8,2.8,-5.2,2008,"Jan",NA
2008-01-30,6.8,0.4,-0.8,0,1008.4,16.5,28,210,46,2.7,401,3.9,0.6,0.9,3.4,3.4,-4.3,2008,"Jan",NA
2008-01-31,7.7,1.3,1.8,4.1,990,27.1,38,260,53,4.4,422,4.2,0.8,1.3,0.1,0.1,-7.4,2008,"Jan",NA
2008-02-01,3.5,-1.4,-0.5,0,992.3,16.5,22,250,31,1.6,366,2.625,0.4,0.6,0.5,0.5,-6.6,2008,"Feb",NA
2008-02-02,8.9,-1.4,-2.7,0,992.9,15.4,24,180,40,0.8,293,1.975,0.8,1.1,1.3,1.3,-5.5,2008,"Feb",NA
2008-02-03,8.8,1,0.8,2.4,977.7,15.8,25,190,38,0.1,108,4.4,0.7,1,0,-0.4,-6.9,2008,"Feb",NA
2008-02-04,9.4,0.7,-1,2.2,979.4,15.5,27,230,36,5.5,568,3.4,1,1.3,0,-1.2,-7.7,2008,"Feb",NA
2008-02-05,9.3,4,2.8,2.3,982.8,15.1,35,250,46,0.6,318,5.125,0.6,0.9,0,-1.7,-9,2008,"Feb",NA
2008-02-06,8.9,1.5,0,0.6,1005.1,11.9,18,150,27,7.1,628,4.475,0.7,1,0.1,0.1,-8.4,2008,"Feb",NA
2008-02-07,14.1,8.7,0,0.1,1012.2,15.2,25,220,33,0.7,353,7.4,1.2,1.5,1.2,1.2,-6.9,2008,"Feb",NA
2008-02-08,12.1,10.3,8.7,0,1011.5,14.8,24,200,35,0.4,228,8.2,1.1,1.4,2.3,2.3,-5.5,2008,"Feb",NA
2008-02-09,12.8,2.5,2.1,0,1015.2,5.7,21,210,32,2.5,352,7.45,0.7,0.9,3,3,-4.5,2008,"Feb",NA
2008-02-10,8.7,3.8,-1.8,0,1021.3,6.5,12,130,18,0.5,297,5.9,0.5,0.7,3.4,3.4,-3.8,2008,"Feb",NA
2008-02-11,12.1,-2.6,-5.9,0,1020.2,5.7,11,130,15,8.2,727,4.9,0.6,0.9,4,4,-3,2008,"Feb",NA
2008-02-12,11.5,-1.7,-6,0,1023.8,5.8,12,120,16,8.6,732,4.325,0.7,0.9,4.7,4.7,-2.2,2008,"Feb",NA
2008-02-13,11.8,-0.6,-4.8,0,1026.6,5.3,9,60,11,8.5,740,4.275,0.5,0.7,5.1,5.1,-1.6,2008,"Feb",NA
2008-02-14,6.2,0.7,-4.7,0,1027.4,10.1,16,80,22,0,190,3.925,0.3,0.5,5.4,5.4,-1.2,2008,"Feb",NA
2008-02-15,7.3,2.7,2.1,0,1028.6,5.5,12,60,19,0.3,362,4.925,0.7,0.9,6.1,6.1,-0.5,2008,"Feb",NA
2008-02-16,7,-1.6,-2.6,0,1030.8,6,11,130,17,8.3,781,4.7,0.6,0.8,6.6,6.6,0.1,2008,"Feb",NA
2008-02-17,6.5,-6.4,-9.2,0,1028.5,4.5,10,80,13,8.6,828,2.825,0.4,0.7,7,7,0.5,2008,"Feb",NA
2008-02-18,7.3,-1.4,-5.1,0,1022,6.9,10,90,15,7.4,735,3.35,0.5,0.8,7.5,7.5,1.1,2008,"Feb",NA
2008-02-19,8.3,-6.7,-9.1,0,1012.6,4.9,13,130,19,7.8,799,2.575,0.6,0.9,8,8,1.6,2008,"Feb",NA
2008-02-20,8.8,-3,-7.2,0,1006.7,8.6,18,230,25,0.3,310,2.975,0.6,0.8,8.6,8.6,2.2,2008,"Feb",NA
2008-02-21,12.3,6,4,0,1004.4,22.4,33,250,46,0,NA,5.575,1.3,1.9,9.8,9.8,3.5,2008,"Feb",NA
2008-02-22,12.4,6.8,8.3,0.7,1007.6,23.9,35,250,47,2.8,NA,7.475,1.2,1.8,10.1,10.1,4,2008,"Feb",NA
2008-02-23,12.3,6.9,4.7,0,1006.9,15.8,21,200,31,0,NA,7.3,1.3,1.7,11.3,11.3,5.2,2008,"Feb",NA
2008-02-24,10.8,2.9,4.5,1.9,1003.7,13,21,210,31,1.6,NA,6.9,1,1.4,10.3,10.3,4.3,2008,"Feb",NA
2008-02-25,11,3,0.6,0.3,997.3,16.8,28,190,42,0.1,NA,5.175,1,1.5,10.9,10.9,5.1,2008,"Feb",NA
2008-02-26,10.3,5.3,4.4,0.1,993.8,22.6,37,250,49,7.9,NA,6.2,1.5,2.3,12.2,12.2,6.5,2008,"Feb",NA
2008-02-27,10.1,2.3,1.4,0,1005.4,9.8,18,250,26,5.5,NA,5.7,1,1.3,13.1,13.1,7.5,2008,"Feb",NA
2008-02-28,9.4,4.1,-1.9,0,1008.5,9.8,15,250,19,0.8,605,5.75,0.9,1.3,13.9,13.9,8.4,2008,"Feb",NA
2008-02-29,12.1,5.2,3.7,4.1,996.2,23.4,40,260,60,0,212,6.5,0.9,1.5,10.6,10.6,5.2,2008,"Feb",NA
2008-03-01,11.7,5,3.7,0.2,994.9,23.6,33,280,46,3.4,650,6.55,1.1,1.9,11.4,11.4,6.2,2008,"Mar",NA
2008-03-02,10,1.5,3.9,0.1,998.2,20.6,32,260,47,4,852,6.7,1.1,1.8,12.3,12.3,7.1,2008,"Mar",NA
2008-03-03,5.3,0,-1.1,3.1,1001.2,16.4,25,240,34,6.3,984,4.325,1,1.6,10,10,5,2008,"Mar",NA
2008-03-04,9.8,0.8,-1.6,0,1016.8,10.2,19,330,29,6.8,1045,4.15,1.2,1.8,11.1,11.1,6.2,2008,"Mar",NA
2008-03-05,10.1,3.1,-2.1,0,1020.3,16.8,27,250,34,0.8,589,5.275,0.9,1.5,12,12,7.2,2008,"Mar",NA
2008-03-06,10.5,4.4,5.7,1.5,1004.8,17.4,28,250,38,0.1,466,7.075,0.9,1.5,11.3,11.3,6.6,2008,"Mar",NA
2008-03-07,9.3,2.6,1.2,2.1,995,17.1,25,240,33,8.2,1000,5.925,1.2,2,10.3,10.3,5.7,2008,"Mar",NA
2008-03-08,11.3,3.7,3,4.7,986.5,20.1,31,250,43,5.9,926,6.75,1.4,2.2,6.8,6.8,2.4,2008,"Mar",NA
2008-03-09,7.3,2.3,0.7,0.8,970.8,16.1,31,150,39,4.8,881,4.85,1.3,2.1,7.3,7.3,2.9,2008,"Mar",NA
2008-03-10,8.2,1.3,-0.7,7.9,958,16.3,33,150,48,2.8,639,5.1,1,1.6,0.3,0.3,-4,2008,"Mar",NA
2008-03-11,11.9,2.3,2.2,3.2,970.2,21.5,40,250,58,3.7,766,5.175,1.6,2.6,0,-1.2,-5.3,2008,"Mar",NA
2008-03-12,9.1,3.1,0.9,3.3,983.5,27.4,44,250,60,7.6,1180,4.875,1.8,3.3,0,-1.5,-6.5,2008,"Mar",NA
2008-03-13,11.6,3.8,2.3,2.1,996.2,14.7,27,280,34,1,702,5.225,1.4,2,0,-0.7,-7,2008,"Mar",NA
2008-03-14,8.9,2.9,1.6,0.1,998.5,9.1,14,130,19,0,553,5.375,0.9,1.3,0.8,0.8,-5.8,2008,"Mar",NA
2008-03-15,9.1,6,5.5,18.2,992.8,11.5,19,70,27,0,181,6.9,0.4,0.7,0,-10,-10,2008,"Mar",NA
2008-03-16,8.2,3.7,4.4,6.4,1000.7,13.1,19,40,26,2.3,706,6.45,0.9,1.5,0,-5.5,-10,2008,"Mar",NA
2008-03-17,8.4,1.2,-0.1,0,1010.7,10.1,16,80,20,7.4,1214,6.1,1.3,2,1.3,1.3,-8.2,2008,"Mar",NA
2008-03-18,8.2,-3.7,-6.3,0,1014.6,6.7,12,10,16,4.8,954,4.525,1.1,1.6,2.4,2.4,-6.7,2008,"Mar",NA
2008-03-19,9.4,-1.1,-3.7,0,1017.3,8.4,14,330,20,1.1,811,4.325,1.2,1.7,3.5,3.5,-5.2,2008,"Mar",NA
2008-03-20,10.3,3,1.3,0.6,1003.2,21.1,31,280,42,0,293,5.55,0.7,1.3,3.6,3.6,-4.8,2008,"Mar",NA
2008-03-21,9.7,2.2,1.7,1.3,991.8,20.6,30,300,45,7.6,1290,6.075,1.9,3.2,4.1,4.1,-4,2008,"Mar",NA
2008-03-22,7.6,0.6,-0.9,0,1000,14.5,23,10,33,7.9,1282,4.675,1.9,2.9,6,6,-1.9,2008,"Mar",NA
2008-03-23,9.1,1.6,0.5,0.3,996.7,14.7,21,330,33,2.8,873,5.075,1.6,2.4,7.1,7.1,-0.6,2008,"Mar",NA
2008-03-24,9.7,0.9,-0.5,0.5,995.9,10,20,330,29,4.1,963,5.825,1.5,2.2,8,8,0.5,2008,"Mar",NA
2008-03-25,10.9,-0.2,-2.6,0.1,995.9,10,15,240,20,0.7,775,5.35,1.2,1.8,9.1,9.1,1.6,2008,"Mar",NA
2008-03-26,10.4,1.8,1.8,0.4,989.5,12.5,18,250,26,6.2,1277,6.825,1.5,2.4,10.1,10.1,2.7,2008,"Mar",NA
2008-03-27,10.7,1.5,0,1.4,987.4,10.7,21,140,30,8.2,1468,6.7,2,2.9,10.5,10.5,3.3,2008,"Mar",NA
2008-03-28,10.9,3.2,3.7,5.4,981.7,18.3,25,260,37,2.1,825,7.475,1,1.8,6,6,-1.1,2008,"Mar",NA
2008-03-29,12.6,3.3,1.6,2,983.2,14.7,24,220,34,3.5,766,5.925,1.7,2.5,5.6,5.6,-1.3,2008,"Mar",NA
2008-03-30,11.4,3.3,1.8,26,985.5,11.5,23,240,32,6.3,1222,6.825,1.9,2.7,0,-10,-10,2008,"Mar",NA
2008-03-31,11.4,2.3,0.1,10.1,998.1,10.5,23,220,33,6,1339,7.8,1.3,2.1,0,-8.8,-10,2008,"Mar",NA
2008-04-01,12.6,7.8,6.3,0.6,1004.3,23.7,34,250,48,9.4,1498,8.45,2.3,4,1.7,1.7,-7.8,2008,"Apr",NA
2008-04-02,15.1,7,6.2,3.5,1016.2,12.3,22,270,28,4,1215,9.45,1.7,2.6,0,-0.1,-9.2,2008,"Apr",NA
2008-04-03,16.3,8.6,7.1,0,1021.2,9.7,15,260,20,4.6,1042,10.525,2,2.7,2,2,-6.7,2008,"Apr",NA
2008-04-04,14.7,3,5.2,1.4,1016.8,11.2,19,260,26,5.1,1281,10.375,1.7,2.7,2.3,2.3,-6.1,2008,"Apr",NA
2008-04-05,10.2,0.1,1.3,0,1011,14.4,22,330,33,10.9,1619,8.275,2,3.2,4.2,4.2,-3.8,2008,"Apr",NA
2008-04-06,7.7,-1,-2.1,0.3,1002.9,14.4,26,10,36,8.8,1550,5.9,1.8,3,5.7,5.7,-2.1,2008,"Apr",NA
2008-04-07,9.2,-1.4,-3.2,2,995,9,20,330,28,9,1418,5.75,1.6,2.4,5.2,5.2,-2.4,2008,"Apr",NA
2008-04-08,8.7,-0.1,-1.6,0.1,992.4,6.5,10,260,13,1.7,793,5.75,1.1,1.6,6.1,6.1,-1.2,2008,"Apr",NA
2008-04-09,10.2,2.6,1.4,0,989.2,8.1,13,280,17,5.1,1252,6.775,1.7,2.5,7.7,7.7,0.5,2008,"Apr",NA
2008-04-10,10.4,1.5,2.6,0.3,983.4,8.8,17,270,21,7.1,1522,7.875,1.8,2.8,9.2,9.2,2.1,2008,"Apr",NA
2008-04-11,10.3,0.7,-2.2,4.1,981.8,10.4,19,260,29,7,1525,7.325,1.8,2.8,6.7,6.7,-0.3,2008,"Apr",NA
2008-04-12,9.1,1.1,0,3.3,989.9,9.2,18,250,22,3.6,856,6.425,1.2,1.8,4.5,4.5,-2.4,2008,"Apr",NA
2008-04-13,11.1,1.3,-0.1,3.8,1000.8,6.4,12,310,31,8.3,1353,7.55,1.6,2.4,2.2,2.2,-4.4,2008,"Apr",NA
2008-04-14,11.4,0.4,-1.5,0,1010.4,8,15,330,22,12.3,1774,7.6,2,3,4.2,4.2,-2.2,2008,"Apr",NA
2008-04-15,11.8,0.7,-2.8,0,1012.2,8,14,270,22,10,1613,7.7,2,3,6.1,6.1,-0.1,2008,"Apr",NA
2008-04-16,9.9,-0.6,-5.3,0,1007.5,11.8,19,120,26,11.4,2090,8.15,1.7,3,7.7,7.7,1.6,2008,"Apr",NA
2008-04-17,8.4,4.8,3.5,0,999.2,18.7,26,80,34,7,1491,7.95,2,3.5,9.6,9.6,3.6,2008,"Apr",NA
2008-04-18,9.1,3.6,2.3,0,992.9,19.2,24,80,34,0.8,791,7.35,1.6,2.6,11,11,5.1,2008,"Apr",NA
2008-04-19,9.4,5.9,5.2,0.2,992.5,19,25,60,37,0.1,856,7.825,1.8,2.9,12.4,12.4,6.7,2008,"Apr",NA
2008-04-20,8,5.8,4.7,1.1,996.2,13.8,19,80,26,0,169,7.15,0.8,1.2,12,12,6.5,2008,"Apr",NA
2008-04-21,11.9,6.7,5.8,0,999.6,11,16,50,21,5.6,1484,8.9,2.1,3.2,13.9,13.9,8.5,2008,"Apr",NA
2008-04-22,13.3,3.7,0.4,3.8,999,10.5,17,140,25,8.4,1892,11.025,2.1,3.4,11.9,11.9,6.8,2008,"Apr",NA
2008-04-23,16.5,5.8,3.9,0.6,1001.3,9.5,16,130,23,10.4,1856,11.925,2.7,3.9,13.7,13.7,8.9,2008,"Apr",NA
2008-04-24,15,7.6,6.3,1.4,1004.5,13,24,280,33,8,1580,11.4,2.6,3.9,14.6,14.6,10.1,2008,"Apr",NA
2008-04-25,14.7,7.8,5.7,0.1,1009.3,11.7,20,200,27,0.3,824,10.55,1.6,2.4,15.9,15.9,11.6,2008,"Apr",NA
2008-04-26,16.2,5.5,10.3,0,1005.8,10.5,19,220,26,0.4,958,12.1,1.9,2.7,17.5,17.5,13.5,2008,"Apr",NA
2008-04-27,13.8,2.4,0.2,0.2,999.8,6.4,14,130,19,9.1,1803,11.75,2.1,3.1,19.1,19.1,15.4,2008,"Apr",NA
2008-04-28,13.7,4.8,4.8,0.8,990.5,10.1,18,260,22,4.8,1342,11.2,2,3,20,20,16.5,2008,"Apr",NA
2008-04-29,12.1,0.3,-3.1,0,985.2,10,19,20,26,11.8,1970,11.075,2.1,3.4,21.7,21.7,18.4,2008,"Apr",NA
2008-04-30,11.4,5.1,3.1,0,983.4,13.6,18,310,29,0.6,988,10.275,2,2.9,23.3,23.3,20.2,2008,"Apr",NA
2008-05-01,13.9,4.5,3.4,0.3,992.8,11.7,19,270,26,7.8,1828,10.675,2.7,4.1,25.1,25.1,22.3,2008,"May",NA
2008-05-02,15.8,2.9,-1.9,0.2,1004.1,9.6,17,140,22,9.1,1589,11.625,2.3,3.4,26.7,26.7,24.2,2008,"May",NA
2008-05-03,16.9,9.4,8.6,2,1005.3,15.9,24,140,31,6.6,2019,13.8,2.9,4.7,26.9,26.9,24.7,2008,"May",NA
2008-05-04,19.2,11.1,11.2,0.2,1007.3,10.5,17,160,26,8.3,1785,15.35,3.3,4.6,29.2,29.2,27.3,2008,"May",NA
2008-05-05,16.4,7.7,5.3,0,1014.3,7.3,13,110,17,14.4,2656,15.8,3.3,4.8,31.6,31.6,30,2008,"May",NA
2008-05-06,19,7.1,5.1,0,1012.6,6.8,15,120,21,12,2462,16.725,3.4,4.8,34,34,32.7,2008,"May",NA
2008-05-07,19.4,6.4,2.7,0,1008.1,6.1,13,110,22,13.9,2506,17.3,3.4,4.8,36.4,36.4,35.3,2008,"May",NA
2008-05-08,19.4,7.8,4.9,0.3,1002.6,7.3,15,90,18,9,2052,17.25,3,4.3,38.1,38.1,37.3,2008,"May",NA
2008-05-09,15.7,11.9,11.6,1.9,1003,4.8,9,100,11,0.1,764,15.875,1.5,2,37.2,37.2,36.5,2008,"May",NA
2008-05-10,16.2,10.8,10.7,5.4,1008.5,5.5,10,70,15,0.3,960,14.95,1.6,2.2,32.8,32.8,32.3,2008,"May",NA
2008-05-11,18.3,6.5,4.8,0,1010.8,4.5,9,50,12,9.4,2188,16.225,2.8,3.9,34.8,34.8,34.5,2008,"May",NA
2008-05-12,17.4,8.7,8.8,0,1010.1,7.8,14,60,18,9.7,2320,17.275,3,4.5,36.9,36.9,36.7,2008,"May",NA
2008-05-13,15.4,8.7,4.9,0,1011.2,11.7,17,50,22,13.5,2607,16.7,3.1,5,38.9,38.9,39,2008,"May",NA
2008-05-14,14.7,8.2,7.1,0,1007.5,11.7,17,50,23,14.5,2641,16.35,3.2,5.1,41,41,41.3,2008,"May",NA
2008-05-15,13,3.1,2.6,0,1003.2,8.9,15,50,21,13.1,2608,16.175,2.5,4.2,42.6,42.6,43,2008,"May",NA
2008-05-16,14.8,2.8,0.7,0,1000.5,7,14,90,19,11.4,2401,15.875,2.6,4,44.2,44.2,44.8,2008,"May",NA
2008-05-17,13.9,2.4,0.1,0,1001.2,10,17,80,20,3.4,1658,15.55,1.9,3.1,45.3,45.3,46,2008,"May",NA
2008-05-18,12.7,2.4,8.2,2.4,1006.2,10.2,16,90,20,8.5,2296,15.475,2.4,4,44.3,44.3,45.1,2008,"May",NA
2008-05-19,14.1,1.7,-1.2,0,1007.9,8.7,18,140,24,3.1,1696,14.225,2.3,3.5,45.7,45.7,46.6,2008,"May",NA
2008-05-20,13.4,0.6,-1.8,0,1006.8,10.7,20,130,27,7.2,2249,14.25,2.5,4.1,47.2,47.2,48.2,2008,"May",NA
2008-05-21,14,9.8,8.1,1.6,1003.6,13,24,130,31,3.2,1933,15.25,3,4.6,47.3,47.3,48.5,2008,"May",NA
2008-05-22,12.8,10,9.1,9,1001,10,17,140,24,0,628,13.35,1.2,1.8,39,39,40.3,2008,"May",NA
2008-05-23,16.7,8.6,6.3,0,1002.7,10.6,19,80,25,6.7,2013,14.05,2.7,4.2,40.8,40.8,42.2,2008,"May",NA
2008-05-24,15.1,9.3,9.3,0,1006.4,14,22,50,32,8.6,2136,14.65,2.9,4.7,42.6,42.6,44.1,2008,"May",NA
2008-05-25,16.6,8.2,6.6,0.3,1009.1,18,28,40,38,7.6,2245,14.475,3.2,5.3,44.2,44.2,45.9,2008,"May",NA
2008-05-26,15.9,8.8,9.5,1.6,1008.6,19.5,27,90,40,6.1,2239,14.85,3.4,5.7,44.6,44.6,46.4,2008,"May",NA
2008-05-27,10.7,8.9,7.7,7.5,1003.7,14.5,21,40,35,0,315,12.075,0.9,1.4,37.7,37.7,39.5,2008,"May",NA
2008-05-28,14.7,10.1,9.2,0,997.2,6.4,11,250,14,0,746,12.95,1.5,2,38.7,38.7,40.6,2008,"May",NA
2008-05-29,17.7,9.6,6.1,0,1001.5,6.5,13,130,19,6.4,1514,13.975,2.6,3.6,40.3,40.3,42.4,2008,"May",NA
2008-05-30,20,7.8,6.8,0,1005.3,5,10,90,14,7.5,2310,16.675,3.4,4.6,42.5,42.5,44.7,2008,"May",NA
